system   D            wsystem.c:583  maybe_parent_dir                 [   0.00126] Also searching C:\Users\Leonardo\Documents\Visual Studio 11\Projects\Projeto Final\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00186] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00190] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.02382] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:879  _al_d3d_init_display             [   0.03413] Render-to-texture: 1
system   I             system.c:272  al_install_system                [   0.03419] Allegro version: 5.0.6
d3d      I         d3d_disp.cpp:1919 d3d_create_display_locked        [   0.03521] faux_fullscreen=0
display  D   display_settings.c:486  _al_score_display_settings       [   0.03713] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03717] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03719] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03721] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03723] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03725] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03727] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03729] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.03731] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.03733] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.03735] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.03736] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.03738] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03740] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03742] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03744] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.03746] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.03748] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.03750] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.03752] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.03754] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03756] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03758] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03760] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.03762] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.03764] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.03765] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.03767] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.03769] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03771] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03773] Score is : 726
